X,Y,Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source,ObjectId
3385504.01375043,-211601.498155935,Rwanda,East,Ruhunda Health Centre,Health Centre,Public,-1.9005,30.4125,GPS,133
3395578.42766722,-188925.66488225,Rwanda,East,Rukara Health Centre,Health Centre,Public,-1.6969,30.503,GPS,134
3405051.71633373,-244929.660149445,Rwanda,East,Rukira Health Centre,Health Centre,Public,-2.1997,30.5881,GPS,135
3382487.25554994,-246801.217271065,Rwanda,East,Rukoma Sake Health Centre,Health Centre,Public,-2.2165,30.3854,GPS,136
3367514.78403824,-153513.265435044,Rwanda,East,Rukomo Health Centre,Health Centre,Public,-1.3789,30.2509,GPS,137
3375930.5375422,-242178.063802906,Rwanda,East,Rukumberi Health Centre,Health Centre,Public,-2.175,30.3264999999999,GPS,138
3395700.8791071,-220623.554205438,Rwanda,East,Ruramira Health Centre,Health Centre,Public,-1.9815,30.5041,GPS,139
3370431.35469702,-148324.324754481,Rwanda,East,Rurenge Health Centre,Health Centre,Public,-1.3323,30.2771,GPS,140
3333551.2073972,-245119.042944546,Rwanda,South,Mukoma (ruhango) Health Centre,Health Centre,Public,-2.2014,29.9457999999999,GPS,141
3351651.7566002,-174080.764698929,Rwanda,North,Mukono Health Centre,Health Centre,Public,-1.5636,30.1084,GPS,142
3423742.25883792,-254254.237382554,Rwanda,East,Rusumo Health Centre,Health Centre,Public,-2.2834,30.756,GPS,143
3311688.05940541,-294667.271733516,Rwanda,South,Mukura (Huye) Health Centre,Health Centre,Public,-2.6461,29.7494,Geonames,144
3344349.19800416,-164548.457702818,Rwanda,North,Mulindi (gicumbi) Health Centre,Health Centre,Public,-1.478,30.0428,GPS,145
3401411.56898478,-214374.899124129,Rwanda,East,Rutare (kayonza) Health Centre,Health Centre,Public,-1.9254,30.5553999999999,GPS,146
3296136.72654159,-246344.466258531,Rwanda,South,Munanira Health Centre,Health Centre,Public,-2.2124,29.6097,GPS,147
3354657.38285162,-183101.179175324,Rwanda,North,Munyinya Health Centre,Health Centre,Public,-1.6446,30.1354,GPS,148
3287876.82032472,-302200.708776075,Rwanda,South,Munini (nyaruguru) Health Centre,Health Centre,Public,-2.7137,29.5354999999999,GPS,149
3387741.53551538,-217192.894221377,Rwanda,East,Rwamagana Health Centre,Health Centre,Public,-1.9507,30.4326,GPS,150
3344482.78139311,-199595.020102718,Rwanda,North,Murambi Health Centre,Health Centre,Public,-1.7927,30.044,GPS,151
3287876.82032472,-302167.275440263,Rwanda,South,Munini District Hospital,District Hospital,Public,-2.7134,29.5354999999999,GPS,152
3387797.19526077,-217148.340610923,Rwanda,East,Rwamagana Provincial Hospital,Provincial Hospital,Public,-1.9503,30.4331,GPS,153
3309450.53764046,-172232.180116074,Rwanda,North,Murandi Health Centre,Health Centre,Public,-1.547,29.7292999999999,GPS,154
3296248.04603239,-246199.643030519,Rwanda,South,Muremera (ruhango) Health Post,Health Post,Public,-2.2111,29.6107,Geonames,155
3402547.02779088,-262554.347232601,Rwanda,East,Rwantonde Health Centre,Health Centre,Public,-2.3579,30.5656,Geonames,156
3297517.08822743,-166508.340583866,Rwanda,North,Musanze Health Centre,Health Centre,Public,-1.4956,29.6221,Geonames,157
3297283.31729676,-239905.524293626,Rwanda,South,Muremure Health Centre,Health Centre,Public,-2.1546,29.62,GPS,158
3395522.76792183,-178936.153269562,Rwanda,East,Rwembogo Health Centre,Health Centre,Public,-1.6072,30.5025,GPS,159
3350594.22143766,-189827.750246019,Rwanda,North,Musenyi (gicumbi) Health Centre,Health Centre,Public,-1.705,30.0989,GPS,160
3322230.01518354,-228030.879898002,Rwanda,South,Musambira Health Centre,Health Centre,Public,-2.048,29.8441,GPS,161
3373325.66145765,-135909.118253503,Rwanda,East,Rwempasha Health Centre,Health Centre,Public,-1.2208,30.3031,GPS,162
3329899.92809919,-183591.18732065,Rwanda,North,Mushongi Health Centre,Health Centre,Public,-1.649,29.913,Geonames,163
3277935.98979689,-270030.396624602,Rwanda,South,Musebeya Health Centre,Health Centre,Public,-2.425,29.4462,GPS,164
3378045.60786728,-202201.188486405,Rwanda,East,Rwimitereri Health Centre,Health Centre,Public,-1.8161,30.3455,GPS,165
3342768.46123489,-189092.717441816,Rwanda,North,Muyanza Health Centre,Health Centre,Public,-1.6984,30.0286,GPS,166
3323922.07144359,-282320.450782025,Rwanda,South,Musha (gisagara) Health Centre,Health Centre,Public,-2.5353,29.8593,GPS,167
3407946.02309436,-218674.307814542,Rwanda,East,Rwinkwavu District Hospital,District Hospital,Public,-1.964,30.6141,GPS,168
3326003.74592143,-191520.562670041,Rwanda,North,Muyongwe Health Centre,Health Centre,Public,-1.7202,29.878,Google Earth,169
3304463.42445293,-222996.093337663,Rwanda,South,Mushishiro Health Centre,Health Centre,Public,-2.0028,29.6845,GPS,170
3408035.07868698,-218674.307814542,Rwanda,East,Rwinkwavu Health Centre,Health Centre,Public,-1.964,30.6148999999999,GPS,171
3393429.9614949,-191320.097339193,Rwanda,East,Ryamanyoni Health Centre,Health Centre,Public,-1.7184,30.4836999999999,GPS,172
3384045.72842104,-243436.88565974,Rwanda,East,Sangaza Health Centre,Health Centre,Public,-2.1863,30.3994,GPS,173
3363039.74050834,-143302.50355959,Rwanda,East,Tabagwe Health Centre,Health Centre,Public,-1.2872,30.2106999999999,GPS,174
3387875.11890433,-240028.062409676,Rwanda,East,Zaza Health Centre,Health Centre,Public,-2.1557,30.4338,GPS,175
3351473.64541493,-218061.691745376,Rwanda,Kigali City,Avega Kigali Health Centre,Health Centre,Public,-1.9585,30.1068,GPS,176
3352330.80549404,-220100.040302006,Rwanda,Kigali City,Bethsaida Health Centre,Health Centre,Public,-1.9768,30.1145,GPS,177
3346263.89324579,-218997.324371713,Rwanda,Kigali City,Biryogo Health Centre,Health Centre,Public,-1.9669,30.0599999999999,GPS,178
3363930.29643469,-210109.001771127,Rwanda,Kigali City,Bumbogo (ex-Gikomero I) Health Centre,Health Centre,Public,-1.8871,30.2186999999999,GPS,179
3356238.11962088,-220467.613738568,Rwanda,Kigali City,Busanza Health Centre,Health Centre,Public,-1.9801,30.1496,GPS,180
3342222.99573001,-225524.607968167,Rwanda,Kigali City,Butamwa Health Centre,Health Centre,Public,-2.0255,30.0237,GPS,181
3358397.71774227,-217638.430908944,Rwanda,Kigali City,Caraes Ndera National Referral Hospital,National Referral Hospital,Public,-1.9547,30.169,GPS,182
3346308.42104212,-217838.922764556,Rwanda,Kigali City,CHK/CHUK National Referral Hospital,National Referral Hospital,Public,-1.9565,30.0604,GPS,183
3344961.45520352,-216602.559741779,Rwanda,Kigali City,Cor Unum Health Centre,Health Centre,Public,-1.9454,30.0483,GPS,184
3351195.34668793,-225691.691676295,Rwanda,Kigali City,Gahanga Health Centre,Health Centre,Public,-2.027,30.1042999999999,GPS,185
3349803.85305302,-220467.613738568,Rwanda,Kigali City,Gatenga Health Centre,Health Centre,Public,-1.9801,30.0917999999999,GPS,186
3344727.68427285,-212191.81708221,Rwanda,Kigali City,Gihogwe Health Centre,Health Centre,Public,-1.9058,30.0461999999999,GPS,187
3356705.66148221,-207068.354333219,Rwanda,Kigali City,Gikomero II Health Centre,Health Centre,Public,-1.8598,30.1538,GPS,188
3348312.17187639,-219342.618553742,Rwanda,Kigali City,Gikondo Health Centre,Health Centre,Public,-1.97,30.0783999999999,GPS,189
3346252.76129671,-217972.584121155,Rwanda,Kigali City,Gitega (Nyarugenge) Health Centre,Health Centre,Public,-1.9577,30.0598999999999,GPS,190
3341710.92607236,-210432.003742116,Rwanda,Kigali City,Jali Health Centre,Health Centre,Public,-1.89,30.0191,GPS,191
3364553.68558313,-222116.133928418,Rwanda,Kigali City,Kabuga (Kicukiro) Health Centre,Health Centre,Public,-1.9949,30.2242999999999,GPS,192
3345362.20537038,-218562.922924864,Rwanda,Kigali City,Kabusunzu Health Centre,Health Centre,Public,-1.963,30.0519,GPS,193
3346653.51146358,-210409.727726807,Rwanda,Kigali City,Kabuye Health Centre,Health Centre,Public,-1.8898,30.0635,GPS,194
3347955.94950585,-215232.545352334,Rwanda,Kigali City,Kacyiru District Hospital,District Hospital,Public,-1.9331,30.0751999999999,GPS,195
3349191.59585367,-212982.624529893,Rwanda,Kigali City,Kagugu Health Centre,Health Centre,Public,-1.9129,30.0863,GPS,196
3355492.27903257,-223374.81135043,Rwanda,Kigali City,Kairos Health Centre,Health Centre,Public,-2.0062,30.1429,Combination,197
3340063.39760862,-213584.085906074,Rwanda,Kigali City,Kanyinya Health Centre,Health Centre,Public,-1.9183,30.0043,Geonames,198
3360791.08679433,-205085.83303143,Rwanda,Kigali City,Kayanga Health Centre,Health Centre,Public,-1.842,30.1905,GPS,199
3352052.50676704,-214976.364903387,Rwanda,Kigali City,Kibagabaga District Hospital,District Hospital,Public,-1.9308,30.1119999999999,GPS,200
3352330.80549404,-220088.901724432,Rwanda,Kigali City,Kicukiro Health Centre,Health Centre,Public,-1.9767,30.1145,GPS,201
3353622.11158724,-217270.863065166,Rwanda,Kigali City,Kimironko Health Centre,Health Centre,Public,-1.9514,30.1261,GPS,202
3350171.20737264,-216435.484282648,Rwanda,Kigali City,King Faisal National Referral Hospital,National Referral Hospital,Public,-1.9439,30.0950999999999,GPS,203
3352052.50676704,-213606.362289768,Rwanda,Kigali City,Kinyinya Health Centre,Health Centre,Public,-1.9185,30.1119999999999,GPS,204
3360880.14238695,-222194.104844424,Rwanda,Kigali City,Masaka District Hospital,District Hospital,Public,-1.9956,30.1912999999999,GPS,205
3360880.14238695,-222194.104844424,Rwanda,Kigali City,Masaka Health Centre,Health Centre,Public,-1.9956,30.1912999999999,GPS,206
3346096.9140096,-215633.524143307,Rwanda,Kigali City,Muhima District Hospital,District Hospital,Public,-1.9367,30.0584999999999,GPS,207
3346108.04595868,-215633.524143307,Rwanda,Kigali City,Muhima Health Centre,Health Centre,Public,-1.9367,30.0585999999999,GPS,208
3218780.81238935,-276515.138783605,Rwanda,West,Gihundwe Health Centre,Health Centre,Public,-2.4832,28.9148,GPS,209
3341399.23149814,-220690.385874449,Rwanda,Kigali City,Mwendo (nyarugenge) Health Centre,Health Centre,Public,-1.9821,30.0163,GPS,210
3352586.84032286,-206923.562776977,Rwanda,Kigali City,Nduba Health Centre,Health Centre,Public,-1.8585,30.1168,GPS,211
3348957.82492299,-207981.657380352,Rwanda,Kigali City,Nyacyonga Health Centre,Health Centre,Public,-1.868,30.0841999999999,GPS,212
3358408.84969135,-219955.238845874,Rwanda,Kigali City,Nyarugunga Health Centre,Health Centre,Public,-1.9755,30.1691,GPS,213
3345250.88587957,-216123.610489385,Rwanda,Kigali City,Nyarurenzi Health Centre,Health Centre,Public,-1.9411,30.0508999999999,Geonames,214
